Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2010
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
04/07/2012,11/07/2012,,,,,,,,,,,,,1.91,V ngm-3,68.1,V ngm-3,4.98,V ngm-3,30.76,V ngm-3,406.1,V ngm-3,15.51,V ngm-3,
11/07/2012,18/07/2012,,,,,,,,,,,,,2.57,V ngm-3,59.8,V ngm-3,4.09,V ngm-3,12.46,V ngm-3,311.3,V ngm-3,10.76,V ngm-3,
18/07/2012,25/07/2012,,,,,,,,,,,,,4.58,V ngm-3,126.4,V ngm-3,10.65,V ngm-3,,,,,,,
18/07/2012,26/07/2012,,,,,,,,,,,,,,,,,,,18.61,V ngm-3,435.7,V ngm-3,17.27,V ngm-3,
03/07/2012,31/07/2012,15.46,V ngm-3,400.1,V ngm-3,15.72,V ngm-3,,,,,,,,,,,,,,,,,,,
04/07/2012,01/08/2012,,,,,,,74.72,V ngm-3,1628.8,V ngm-3,139.13,V ngm-3,,,,,,,,,,,,,
25/07/2012,02/08/2012,,,,,,,,,,,,,2.7,V ngm-3,149.4,V ngm-3,12.84,V ngm-3,,,,,,,
26/07/2012,02/08/2012,,,,,,,,,,,,,,,,,,,14.02,V ngm-3,375.6,V ngm-3,15.55,V ngm-3,
02/08/2012,08/08/2012,,,,,,,,,,,,,2.15,V ngm-3,91.8,V ngm-3,6.9,V ngm-3,12.72,V ngm-3,328.7,V ngm-3,16.72,V ngm-3,
08/08/2012,15/08/2012,,,,,,,,,,,,,4.83,V ngm-3,194.2,V ngm-3,16.48,V ngm-3,12.39,V ngm-3,456.6,V ngm-3,29.9,V ngm-3,
15/08/2012,22/08/2012,,,,,,,,,,,,,2.2,V ngm-3,134.3,V ngm-3,9.78,V ngm-3,9.04,V ngm-3,299.9,V ngm-3,15.07,V ngm-3,
31/07/2012,28/08/2012,11.36,V ngm-3,319.8,V ngm-3,12.05,V ngm-3,,,,,,,,,,,,,,,,,,,
01/08/2012,29/08/2012,,,,,,,76.29,V ngm-3,1638.8,V ngm-3,32.15,V ngm-3,,,,,,,,,,,,,
